Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
708465,Die rote Zora und ihre Bande,Kurt Held,"Held, Kurt",,"=""3794101227""","=""9783794101221""",5,4.15,Sauerländer,Hardcover,383,2003,1941,,2018/07/09,,,read,,,,1,0
58696,David Copperfield,Charles Dickens,"Dickens, Charles","Edward Killoran Brown, Jeremy Tambling, Phiz","=""""","=""""",4,4.04,Penguin ,Paperback,882,2004,1850,,2018/07/09,,,read,,,,1,0
18254,Oliver Twist,Charles Dickens,"Dickens, Charles",Philip Horne,"=""""","=""""",4,3.88,Penguin Books,Paperback,608,2003,1838,,2018/07/09,,,read,,,,1,0
7624,Lord of the Flies,William Golding,"Golding, William",,"=""0140283331""","=""9780140283334""",3,3.70,Penguin Books ,Paperback,182,1999,1954,,2018/07/09,,,read,,,,1,0
22328546,"Red Queen (Red Queen, #1)",Victoria Aveyard,"Aveyard, Victoria",,"=""""","=""""",0,3.99,HarperTeen,Hardcover,388,2015,2015,,2018/07/08,to-read,to-read (#41),to-read,,,,0,0
34931300,Carnegie's Maid,Marie Benedict,"Benedict, Marie",,"=""149264661X""","=""9781492646617""",0,3.98,Sourcebooks Landmark,Hardcover,283,2018,2018,,2018/07/08,to-read,to-read (#40),to-read,,,,0,0
2467035,Tortillas for the Daltons (Lucky Luke),Morris,"Morris, Morris",René Goscinny,"=""190546049X""","=""9781905460496""",5,3.93,"Cinebook, Ltd",Paperback,48,2008,1966,,2018/07/08,,,read,,,,1,0
25893693,"Lilac Girls (Lilac Girls, #1)",Martha Hall Kelly,"Kelly, Martha Hall",,"=""1101883073""","=""9781101883075""",0,4.29,Ballantine Books,Hardcover,487,2016,2016,,2018/07/08,to-read,to-read (#39),to-read,,,,0,0
35068763,The Home for Unwanted Girls,Joanna Goodman,"Goodman, Joanna",,"=""0062684248""","=""9780062684240""",0,4.23,Harper Paperbacks,Kindle Edition,384,2018,2018,,2018/07/08,to-read,to-read (#38),to-read,,,,0,0
29069989,"Harry Potter and the Cursed Child, Parts 1 & 2",John Tiffany,"Tiffany, John","Jack Thorne, J.K. Rowling","=""1338099132""","=""9781338099133""",2,3.48,Arthur A. Levine Books,Hardcover,327,2016,2016,2016/01/01,2018/07/08,,,read,,,,2,0
1213715,"Schatten über Ulldart (Ulldart - Die Dunkle Zeit, #1)",Markus Heitz,"Heitz, Markus",,"=""3492285287""","=""9783492285285""",3,3.94,Piper Taschenbuch,Paperback,400,2009,2008,2018/01/01,2018/07/08,,,read,,,,1,0
1739657,"Der Orden der Schwerter (Ulldart - Die Dunkle Zeit, #2)",Markus Heitz,"Heitz, Markus",,"=""3492285295""","=""9783492285292""",3,3.98,Piper Taschenbuch,Paperback,496,2004,2004,2018/01/01,2018/07/08,,,read,,,,1,0
